unique_id,canonical_bitmask,orientations,canonical_coords,black_remaining,white_remaining,diff_black_minus_white,parity_possible
491844,1074791778,8,a2 a6 b1 b3 b5 d3 f1,18,11,7,0
491858,25168529,8,a1 a5 b2 b4 b6 d6 e1,11,18,-7,0
491860,75500177,8,a1 a5 b2 b4 b6 d6 e3,11,18,-7,0
491862,33817954,8,a2 a6 b1 b3 b5 d1 e2,18,11,7,0
491865,1644175434,8,a2 a4 b1 c2 e2 e6 f1,18,11,7,0
491867,1107435594,8,a2 a4 b1 c2 c6 e2 f1,18,11,7,0
491870,83888785,8,a1 a5 b2 b4 b6 e1 e3,11,18,-7,0
491872,285215377,8,a1 a5 b2 b4 b6 e1 e5,11,18,-7,0
491874,2164263569,8,a1 a5 b2 b4 b6 e1 f2,11,18,-7,0
491876,2173173905,8,a1 a5 b2 d2 d6 e1 f2,11,18,-7,0
491878,1610614114,8,a2 a6 b1 b3 b5 e6 f1,18,11,7,0
491890,167773538,8,a2 a6 b1 b3 b5 e2 e4,18,11,7,0
491893,1648369730,8,a2 b1 c2 d5 e2 e6 f1,18,11,7,0
491895,1111629890,8,a2 b1 c2 c6 d5 e2 f1,18,11,7,0
491897,1111498850,8,a2 a6 b1 c2 d5 e2 f1,18,11,7,0
491908,1644176450,8,a2 b1 b5 c2 e2 e6 f1,18,11,7,0
491910,1107436610,8,a2 b1 b5 c2 c6 e2 f1,18,11,7,0
491912,1107297634,8,a2 a6 b1 b3 b5 e2 f1,18,11,7,0
491921,1644306498,8,a2 b1 c2 c6 e2 e6 f1,18,11,7,0
491923,1644175458,8,a2 a6 b1 c2 e2 e6 f1,18,11,7,0
492128,606865,8,a1 a5 b2 b4 c3 c5 d2,11,18,-7,0
492130,1090850,8,a2 a6 b3 b5 c2 c4 d3,18,11,7,0
492132,304418,8,a2 a6 b3 b5 c2 c4 d1,18,11,7,0
492133,16859793,8,a1 a5 b2 b4 c3 c5 e1,11,18,-7,0
492135,67191441,8,a1 a5 b2 b4 c3 c5 e3,11,18,-7,0
492137,33596706,8,a2 a6 b3 b5 c2 c4 e2,18,11,7,0
492140,84428929,8,a1 b2 b6 c3 d2 e1 e3,11,18,-7,0
492142,92815489,8,a1 b2 c3 d2 d6 e1 e3,11,18,-7,0
492144,1073784098,8,a2 a6 b3 b5 c2 c4 f1,18,11,7,0
492162,2638481,8,a1 a5 b2 b4 c3 d2 d4,11,18,-7,0
492164,4490530,8,a2 a6 b3 b5 c4 d1 d5,18,11,7,0
492165,17318545,4,a1 a5 b2 b4 c3 d2 e1,11,18,-7,0
492167,17384065,8,a1 b2 b4 c3 c5 d2 e1,11,18,-7,0
492169,37782818,8,a2 a6 b3 b5 c4 d5 e2,18,11,7,0
492172,17320577,8,a1 b2 b4 b6 c3 d2 e1,11,18,-7,0
492174,25707137,8,a1 b2 b4 c3 d2 d6 e1,11,18,-7,0
492176,1077970210,8,a2 a6 b3 b5 c4 d5 f1,18,11,7,0
492193,1344802,8,a2 a6 b3 b5 c4 d1 d3,18,11,7,0
492194,18891409,8,a1 a5 b2 b4 c3 d4 e1,11,18,-7,0
492196,19480705,8,a1 b2 c3 c5 d2 d4 e1,11,18,-7,0
492198,34637090,8,a2 a6 b3 b5 c4 d3 e2,18,11,7,0
492201,19417217,8,a1 b2 b6 c3 d2 d4 e1,11,18,-7,0
492203,27803777,8,a1 b2 c3 d2 d4 d6 e1,11,18,-7,0
492205,1074824482,8,a2 a6 b3 b5 c4 d3 f1,18,11,7,0
492219,25182865,8,a1 a5 b2 b4 c3 d6 e1,11,18,-7,0
492221,75514513,8,a1 a5 b2 b4 c3 d6 e3,11,18,-7,0
492223,33850658,8,a2 a6 b3 b5 c4 d1 e2,18,11,7,0
492226,1645224008,8,a4 b1 c2 d3 e2 e6 f1,18,11,7,0
492228,1108484168,8,a4 b1 c2 c6 d3 e2 f1,18,11,7,0
492231,17383569,8,a1 a5 b2 c3 c5 d2 e1,11,18,-7,0
492233,285229713,8,a1 a5 b2 b4 c3 e1 e5,11,18,-7,0
492235,17320081,8,a1 a5 b2 b6 c3 d2 e1,11,18,-7,0
492237,25706641,8,a1 a5 b2 c3 d2 d6 e1,11,18,-7,0
492239,1610646818,8,a2 a6 b3 b5 c4 e6 f1,18,11,7,0
492251,167806242,8,a2 a6 b3 b5 c4 e2 e4,18,11,7,0
492254,17385601,8,a1 b2 b6 c3 c5 d2 e1,11,18,-7,0
492256,25772161,8,a1 b2 c3 c5 d2 d6 e1,11,18,-7,0
492258,1112547424,8,a6 b1 c2 d3 d5 e2 f1,18,11,7,0
492269,285755521,8,a1 b2 b6 c3 d2 e1 e5,11,18,-7,0
492271,294142081,8,a1 b2 c3 d2 d6 e1 e5,11,18,-7,0
492273,1107330338,8,a2 a6 b3 b5 c4 e2 f1,18,11,7,0
492282,25708673,8,a1 b2 b6 c3 d2 d6 e1,11,18,-7,0
492284,1614840928,8,a6 b1 b5 c4 d5 e6 f1,18,11,7,0
492466,2687633,8,a1 a5 b2 b4 c5 d2 d4,11,18,-7,0
492468,4465954,8,a2 a6 b3 b5 c2 d1 d5,18,11,7,0
492469,17367697,8,a1 a5 b2 b4 c5 d2 e1,11,18,-7,0
